Packet number,Battery voltage (V),Thermometer (degrees C)
34994,4.075684,33.68359
35091,4.075684,33.74609
35189,4.075684,33.65234
35286,4.067627,33.74609
35384,4.073975,33.71094
35481,4.073975,33.74609
35579,4.075684,33.71094
35676,4.075684,33.74609
35774,4.075684,33.77734
35871,4.075684,33.71094
35969,4.075684,33.68359
36066,4.075684,33.71094
36164,4.075684,33.74609
36261,4.067627,33.71094
36359,4.072266,33.68359
36456,4.075684,33.71094
36554,4.075684,33.74609
36651,4.075684,33.68359
36749,4.075684,33.71094
36846,4.075684,33.74609
36944,4.075684,33.71094
37041,4.075684,33.74609
37139,4.075684,33.65234
37236,4.069092,33.68359
37334,4.069092,33.68359
37431,4.075684,33.71094
37529,4.075684,33.68359
37626,4.075684,33.71094
37724,4.075684,33.74609
37821,4.075684,33.74609
37919,4.075684,33.68359
38016,4.075684,33.71094
38114,4.075684,33.71094
38211,4.073975,33.74609
38309,4.067627,33.65234
38406,4.075684,33.68359
38504,4.075684,33.65234
38601,4.075684,33.68359
38699,4.075684,33.68359
38796,4.077148,33.68359
38894,4.075684,33.625
38991,4.075684,33.65234
39089,4.075684,33.625
39186,4.075684,33.58984
39284,4.067627,33.68359
39381,4.075684,33.65234
39479,4.075684,33.68359
39576,4.075684,33.625
39674,4.077148,33.65234
39771,4.077148,33.625
39869,4.075684,33.65234
39966,4.077148,33.68359
40064,4.075684,33.65234
40161,4.077148,33.68359
40259,4.069092,33.65234
40356,4.073975,33.625
40454,4.077148,33.55859
40551,4.077148,33.65234
40649,4.077148,33.68359
40746,4.077148,33.58984
40844,4.077148,33.68359
40941,4.075684,33.65234
41039,4.077148,33.625
41136,4.077148,33.58984
41234,4.070801,33.58984
41331,4.070801,33.55859
41429,4.077148,33.65234
41526,4.077148,33.55859
41624,4.077148,33.53125
41721,4.077148,33.55859
41819,4.077148,33.53125
41916,4.077148,33.625
42014,4.077148,33.58984
42111,4.077148,33.58984
42209,4.073975,33.55859
42306,4.069092,33.53125
42404,4.077148,33.5
42501,4.077148,33.58984
42599,4.077148,33.625
42696,4.077148,33.58984
42794,4.077148,33.625
42891,4.077148,33.55859
42989,4.077148,33.58984
43086,4.077148,33.55859
43184,4.077148,33.58984
43281,4.069092,33.625
43379,4.077148,33.65234
43476,4.077148,33.625
43574,4.077148,33.65234
43671,4.077148,33.625
43769,4.077148,33.625
43866,4.077148,33.58984
43922,4.065918,33.55859
44020,4.067627,33.58984
44117,4.069092,33.58984
44215,4.069092,33.55859
44312,4.070801,33.58984
44410,4.062744,33.55859
44507,4.070801,33.58984
44605,4.070801,33.55859
44702,4.070801,33.625
44800,4.070801,33.625
44897,4.070801,33.58984
44995,4.070801,33.58984
45092,4.072266,33.68359
45190,4.072266,33.58984
45287,4.072266,33.55859
45385,4.064209,33.58984
45482,4.070801,33.625
45580,4.072266,33.55859
45677,4.072266,33.55859
45775,4.072266,33.55859
45872,4.072266,33.53125
45970,4.073975,33.5
46067,4.072266,33.58984
46165,4.073975,33.5
46262,4.073975,33.53125
